density total,temperature total,density cold,temperature cold,density hot,temperature hot,density_hot1,temperature hot1,density hot2,temperature hot2,density hot3,temperature hot3,s/c potential,pos_x,pos_y,pos_z,r,long,lat,magnetic_latitude,magnetic_colatitude,distance_from_dipole
,,,,,,,,,,,,,0.2103658494555373,-11.014925593722102,-21.752134932488378,24.38294924218628,-88.90588364675317,-63.1388805753832,5.72091132391778,84.27908867608222,24.116131566787754
,,,,,,,,,,,,,0.2400391444099867,-11.010010031892792,-21.737542725889146,24.367985215300116,-88.75104097097676,-63.132414243212835,5.771269928627329,84.22873007137267,24.101210113396505
,,,,,,,,,,,,,0.3222146135341832,-10.99595832307529,-21.69706823513699,24.32648128480924,-88.32154183083966,-63.114435733346916,5.910385369725548,84.08961463027445,24.059824112238513
,,,,,,,,,,,,,0.35179645383740576,-10.99074163335221,-21.68247475330782,24.311517308137418,-88.16667762230159,-63.10793792254419,5.9603401726842415,84.03965982731576,24.044902599101995
,,,,,,,,,,,,,0.4337140266367881,-10.975856530132576,-21.64199671766728,24.27001352192612,-87.73711862797832,-63.0898717912802,6.0983282111075425,83.90167178889246,24.00351643430174
,,,,,,,,,,,,,0.4632013590402338,-10.9703400237731,-21.62740195488219,24.25504959908877,-87.58223279192082,-63.083342275885386,6.147873858151093,83.85212614184891,23.988594862924803
,,,,,,,,,,,,,0.5448525907700313,-10.95462520599146,-21.586920358609763,24.21354596746154,-87.1526136771703,-63.06518789363617,6.284719640430396,83.7152803595696,23.947208538948864
0.04453,56.42,0.04453,4.618,,,,,,,,,,0.5742423789634428,-10.948810225195201,-21.572324309242223,24.19858210226912,-86.99770611750141,-63.05862644561595,6.333850774859334,83.66614922514067,23.932286911047505
,,,,,,,,,,,,,0.655618871720107,-10.932269458136188,-21.53183913649046,24.157078635670235,-86.56802661533231,-63.04038317683932,6.469539440605867,83.53046055939413,23.890900432560624
,,,,,,,,,,,,,0.6849080966650889,-10.926157375754999,-21.5172417947395,24.142114831843692,-86.41309723448425,-63.03378956593941,6.518250703919195,83.4817492960808,23.875978749782917
,,,,,,,,,,,,,0.7660015005663195,-10.908794509567883,-21.476753029556082,24.100611540859177,-85.98335707547548,-63.01545676906827,6.652767388007029,83.34723261199296,23.834592121651152
,,,,,,,,,,,,,0.9598561112667188,-10.864646662828141,-21.379514064497993,24.000947741631084,-84.95121295692722,-62.97116201975369,6.972218466041185,83.02778153395882,23.735207475130302
,,,,,,,,,,,,,1.040205583463863,-10.84524594506585,-21.33901624774765,23.959444936944493,-84.52131996980121,-62.952602555612366,7.103740143794196,82.8962598562058,23.693820495521877
,,0.04453,4.618,,,,,,,,,,1.0691193146573983,-10.838105257061917,-21.3244143371135,23.94448137866048,-84.36631344647459,-62.94589452991584,7.1509396420721725,82.84906035792783,23.67889863542806
,,,,,,,,,,,,,1.1491557296631434,-10.81789686633829,-21.28391344523718,23.902979375929213,-83.93636494203822,-62.927243508514415,7.2812354568397,82.7187645431603,23.637512111343074
,,,,,,,,,,,,,1.1779555321067157,-10.81046563213574,-21.26931021599635,23.888015896752403,-83.78133615625603,-62.92050225688343,7.32799096537008,82.67200903462992,23.62259020505896
,,,,,,,,,,,,,1.2576730343842475,-10.789453220523908,-21.22880508464106,23.846513530933056,-83.35131967207357,-62.90175848003439,7.457049745727244,82.54295025427275,23.58120296928662
,,,,,,,,,,,,,1.286355987385927,-10.781732975072963,-21.2142005308343,23.831550134947364,-83.19626852283935,-62.894983759561036,7.503355901719554,82.49664409828044,23.56628101894507
,,,,,,,,,,,,,1.365745369517523,-10.759921131234854,-21.173691717359947,23.79004800555371,-82.76618987320309,-62.87614681508887,7.631160936029854,82.36883906397014,23.52489366398533
,,,,,,,,,,,,,1.3943085723904978,-10.751913441861488,-21.159085833001885,23.77508469689781,-82.61111626040004,-62.86933838087955,7.6770123833994655,82.32298761660053,23.509971671798617
0.151,24.42,0.151,2.57,0.005608,583.5,0.002794,425.6,0.002206,4936.0,0.001835,1463.0,,1.4733618159002266,-10.729306553336741,-21.118573320820328,23.733582815556773,-82.18097516650012,-62.850407586320834,7.80354882041097,82.19645117958903,23.468584203968348
0.1723,10.68,0.1723,3.556,0.001471,844.8,0.002203,913.8,,,0.002061,963.9,,1.5018023873219462,-10.72101301646176,-21.103966099885398,23.718619598425633,-82.02587898940466,-62.843565191123815,7.84894020631289,82.15105979368711,23.453662172228942
0.1065,28.16,0.1065,2.85,0.003092,864.7,0.002734,506.3,0.00195,7633.0,0.001784,2071.0,,1.5805115281654676,-10.697615551082723,-21.063449872159687,23.677117976781183,-81.59567516900356,-62.82453985737189,7.9741932053774764,82.02580679462253,23.412274597929304
0.3968,35.77,0.414,16.86,0.009095,817.3,0.01889,403.1,0.006921,2005.0,0.006342,2416.0,0.6525,1.7684589467936263,-10.63907330220304,-20.96614458727726,23.577458442986586,-80.56241137411592,-62.77856686052696,8.271064432204701,81.7289355677953,23.31288781503929
0.2378,39.58,0.2088,19.33,0.02987,204.0,0.03026,103.4,0.002119,4655.0,0.003033,1089.0,0.8011,1.846273349625627,-10.613719463412433,-20.925618996705175,23.535957523007774,-80.13204949678946,-62.75930212025821,8.393043994328346,81.60695600567165,23.271500004498865
0.1985,19.82,0.2163,15.41,0.005244,215.1,0.005523,234.6,,,0.00461,315.0,0.9619,1.8742623077955765,-10.604438446614342,-20.911007049711454,23.52099466008055,-79.97687353785814,-62.75233887978707,8.436783078862222,81.56321692113778,23.256577853564206
