density comp1,thermal speed comp1,density comp2,thermal speed comp2,density comp3,thermal speed comp3,pos_x,pos_y,pos_z,r,long,lat,magnetic_latitude,magnetic_colatitude,distance_from_dipole
0.0,0.0,0.0,0.0,0.0311,479.0,-0.1000197627903641,6.131500927866923,-5.0131287208637785,7.9206544649625314,90.93455128170613,-39.26577370046681,-47.075643656141146,137.07564365614115,7.71208574373814
0.0,0.0,0.0,0.0,0.0249,467.0,-0.33855122411712224,6.061518057772198,-4.8066465073088045,7.743414540257648,93.19679385657705,-38.37018736572903,-49.104858255390496,139.1048582553905,7.537986809252623
0.0,0.0,0.0,0.0,0.0303,420.0,-0.40585263618254713,6.039756510268739,-4.7475775633167725,7.693040217322328,93.84431684792699,-38.10658513963266,-49.69336659399407,139.69336659399409,7.48855428839401
0.0,0.0,0.0,0.0,0.0366,415.0,-0.6382358011714331,5.957510622462701,-4.540572138659263,7.517717279934223,96.11484836725997,-37.15568238155747,-51.78476365398811,141.7847636539881,7.316692457532127
0.0,0.0,0.0,0.0,0.0282,506.0,-0.8332705578267203,5.879611028445296,-4.3628061528219675,7.368734165069168,98.0663572244734,-36.30403694565923,-53.6178135881681,143.6178135881681,7.1708917239948
0.0,0.0,0.0,0.0,0.0254,503.0,-1.0556241290711108,5.78029625909912,-4.155016132207586,7.196549604062889,100.3495643667604,-35.26523100368311,-55.80559239916253,145.80559239916252,7.0026908675338655
0.0,0.0,0.0,0.0,0.0357,465.0,-1.086912200615413,5.765380294447375,-4.125296330808611,7.172102752222094,100.67631963192213,-35.11269054286692,-56.12259196280536,146.12259196280536,6.978838188662056
0.0,0.0,0.0,0.0,0.0292,481.0,-1.1180777434570048,5.750284492899631,-4.095567591150731,7.147694976940473,101.0032227690482,-34.95908815077212,-56.44072768609099,146.44072768609098,6.955031063008444
0.0,0.0,0.0,0.0,0.0275,544.0,-1.220654052830393,5.698886624358315,-3.9968043588638538,7.0669477256460915,102.08960529086039,-34.44139816052503,-57.505171131495864,147.50517113149587,6.876325314252616
0.0,0.0,0.0,0.0,0.0275,520.0,-1.422753401349142,5.5896021632036605,-3.7977828277918513,6.905869531855656,104.28057183163683,-33.36258825030331,-59.68616914469925,149.68616914469925,6.719584393040927
0.0,0.0,0.0,0.0,0.0362,547.0,-1.6660418656129279,5.442827020177452,-3.549325259092516,6.708037810297504,107.01927753307031,-31.945696877904343,-62.47872885020638,152.47872885020638,6.5276132581757595
0.0,0.0,0.0,0.0,0.0422,503.0,-1.8542261972399001,5.316724968253926,-3.3493723839150884,6.551642125812314,109.22639405004402,-30.745553859981168,-64.7844918855359,154.78449188553589,6.376320696143771
0.0,0.0,0.0,0.0,0.0399,526.0,-1.96372512814064,5.237810228612248,-3.2294354902696005,6.459111855019924,110.55169392588537,-29.998766391674405,-66.19322296946748,156.19322296946748,6.287027480250238
0.0,0.0,0.0,0.0,0.0435,551.0,-2.079208162304334,5.149801747662269,-3.099734080259832,6.3601820721377615,111.98616066582389,-29.16757800922994,-67.73868190626179,157.7386819062618,6.191754231603741
0.0,0.0,0.0,0.0,0.0415,549.0,-2.277155897231923,4.986437427023338,-2.8687080383130725,6.1870415388131415,114.54475315140814,-27.623788567826917,-70.5487571394921,160.5487571394921,6.025548961403847
0.0,0.0,0.0,0.0,0.055,620.0,-2.393979406330002,4.881809682741207,-2.726439749336472,6.082489365646262,116.12276384288703,-26.631080581256846,-72.31562948462475,162.31562948462476,5.925550833049061
0.0,0.0,0.0,0.0,0.0547,642.0,-2.4729297930738845,4.807275351311749,-2.627447656854841,6.010720360681733,117.22192453293655,-25.92071028921086,-73.56104824944086,163.56104824944086,5.857084044239806
0.0,0.0,0.0,0.0,0.0576,594.0,-2.543503890799985,4.737828706932482,-2.536816209487389,5.9457438037192745,118.22913247605133,-25.255836278237663,-74.71237208267564,164.71237208267564,5.795229937256559
0.0,0.0,0.0,0.0,0.0532,648.0,-2.5666764508777096,4.714414329699968,-2.506586839943832,5.924230588165031,118.56527207183338,-25.030937763245884,-75.09864985002966,165.09864985002966,5.7747797005394
0.0,0.0,0.0,0.0,0.0569,624.0,-2.7019558541080806,4.57120851887608,-2.325004942754268,5.796737077393277,120.58653939484132,-23.64624744329612,-77.44052899040935,167.44052899040935,5.653904058701292
0.0,0.0,0.0,0.0,0.0569,646.0,-2.7952904085449854,4.46530812201445,-2.1940530993519505,5.706706063519279,122.04663551433799,-22.61079568730708,-79.14780072793748,169.1478007279375,5.568900899871278
0.0,0.0,0.0,0.0,0.0578,684.0,-2.8924665280912536,4.348061866840658,-2.0519899840597873,5.610941766645224,123.63309117982381,-21.451420664795275,-81.00661481165953,171.00661481165955,5.478842266644431
0.0,0.0,0.0,0.0,0.0599,674.0,-2.9126915060346965,4.322680083259984,-2.021608124770016,5.590727530623841,123.97272480865367,-21.198501596490566,-81.40327506128554,171.40327506128554,5.459883004309356
0.0,0.0,0.0,0.0,0.0612,695.0,-2.932725124327897,4.297184438517133,-1.9912163840708619,5.570602610282852,124.31259726546224,-20.943723488423824,-81.79910261242274,171.79910261242273,5.441025905199533
0.0,0.0,0.0,0.0,0.0243,622.0,-2.990858043934183,4.221110266676696,-1.9012568727989234,5.511604250921356,125.31939201006998,-20.179064644832206,-82.96064927938247,172.96064927938247,5.385854010759537
0.0,0.0,0.0,0.0,0.0694,666.0,-3.0299837462401165,4.168051160236194,-1.8391248632923725,5.471364751102394,126.01544795056758,-19.641656801173156,-83.74724925288793,173.74724925288794,5.348322487295007
0.0,0.0,0.0,0.0,0.0708,776.0,-3.043586574753875,4.149233031957927,-1.8172042390905987,5.45726902746068,126.26116164410348,-19.450226045731995,-84.01989745967315,174.01989745967313,5.335195012891
0.0,0.0,0.0,0.0,0.065,695.0,-3.0918519398642283,4.080829254753917,-1.7380102914903879,5.40679161775485,127.14949322543798,-18.75060525956805,-84.97178151453133,174.97178151453133,5.288272115664562
0.0,0.0,0.0,0.0,0.0672,732.0,-3.1401898939043185,4.009598092096248,-1.6563174334285549,5.355469808541549,128.06691941843627,-18.015594785832402,-85.86281619626031,175.86281619626033,5.240710690548975
